"Title","Year","Keywords","Agency"
"A Gendered (R)evolution: Intergenerational Educational Attainment Among Children of Immigrants Across the Twentieth Century","2022","Disadvantage; Earnings; Social mobility; Demographic economics; Investment (military); Transmission channel; Economics; Labour economics; Transmission (telecommunications); Sociology; Political science; Social science; Electrical engineering; Accounting; Politics; Law; Engineering","Penn State"
"A Global View of Creative Destruction","2019","Geography","Chicago"
"A matter of taste: Estimating import price inflation across U.S. income groups","2020","Economics; Inflation (cosmology); Decile; Price level; Monetary economics; Construct (python library); Econometrics; Statistics; Physics; Mathematics; Theoretical physics; Computer science; Programming language","Michigan"
"A method for measuring the efficiency gap between average and best practice energy use: The ENERGY STAR industrial energy performance indicator","2005","Energy intensity; Context (archaeology); Stochastic frontier analysis; Regression analysis; Econometrics; Computer science; Inefficiency; Data envelopment analysis; Energy (signal processing); Parametric statistics; Measure (data warehouse); Best practice; Industrial engineering; Statistics; Engineering; Economics; Mathematics; Data mining; Production (economics); Machine learning; Microeconomics; Paleontology; Management; Biology","Washington"
"A Method of Correcting for Misreporting Applied to the Food Stamp Program","2013","Food Stamp Program; Computer science; Food stamps; Political science; Law; Welfare","Chicago"
"A Method of Correcting for Misreporting Applied to the Food Stamp Program","2013","Food Stamp Program; Computer science; Food stamps; Political science; Law; Welfare","Chicago"
"A New Estimate of the Impact of OSHA Inspections on Manufacturing Injury Rates, 1998-2005","2012","Medicine; Workers' compensation; Occupational safety and health; Unemployment; Environmental health; Compensation (psychology); Occupational injury; Injury prevention; Occupational medicine; Poison control; Occupational exposure; Economics; Psychology; Pathology; Psychoanalysis; Economic growth","Boston"
"A Note on the Locational Determinants of the Agricultural Supply Chain","2021","Latin Americans; Geography; Agricultural economics; Political science; Economics; Law","Texas"
"A Quasi-Experimental Approach to Identifying Compensating Wage Differentials for Occupational Risks","2012","Disadvantaged; Real estate; Unemployment; Earnings; Labour economics; Competition (biology); Economics; State (computer science); Estate; Affect (linguistics); Empirical evidence; Economic growth; Finance; Ecology; Algorithm; Computer science; Biology; Linguistics; Philosophy; Epistemology","Boston"
"A Search and Learning Model of Export Dynamics","2021","Dynamics (music); Computer science; Econometrics; Economics; Psychology; Pedagogy","Penn State"
"A Search and Learning Model of Export Dynamics","2021","Dynamics (music); Computer science; Econometrics; Economics; Psychology; Pedagogy","Penn State"
"A study of the extent and potential causes of alternative employment arrangements","2013","Sample (material); Work (physics); Economics; Public economics; Engineering; Mechanical engineering; Chemistry; Chromatography","Washington"
"A tale of two cities: physical form and neighborhood satisfaction in metropolitan Portland and Charlotte","2008","Metropolitan area; Context (archaeology); Land use; Scale (ratio); Quality (philosophy); Quality of life (healthcare); Life satisfaction; Geography; Psychology; Social psychology; Cartography; Engineering; Civil engineering; Archaeology; Philosophy; Epistemology; Psychotherapist","Cornell"
"A Warm Embrace or the Cold Shoulder? Wage and Employment Outcomes in Ethnic Enclaves","2014","Ethnic group; Wage; Demographic economics; Low wage; Labour economics; Political science; Economics; Law","UCLA"
" Information technology, firm size, and industrial concentration","2023","Business; Industrial organization; Information technology; Computer science; Operating system","Boston"
"“Characteristics of Employers Providing Dental Coverage in the U.S.","2010","Lottery; Medicaid; Public health insurance; Treatment and control groups; Health insurance; Debt; Health care; Public health; Medicine; Randomized controlled trial; Actuarial science; Environmental health; Family medicine; Business; Finance; Nursing; Economics; Economic growth; Surgery; Pathology; Microeconomics","Washington"
"“It's Not You, It's Me”: Prices, Quality, and Switching in U.S.-China Trade Relationships","2022","China; Quality (philosophy); Index (typography); Business; Industrial organization; Economics; Microeconomics; Computer science; Philosophy; Epistemology; World Wide Web; Political science; Law","Michigan"
"Access to Credit, Market Selection, and Economic Growth","2012","Rationality; Isomorphism (crystallography); Organizational field; Cage; Sociology; Political science; Business; Institutional theory; Mathematics; Combinatorics; Social science; Law; Chemistry; Crystal structure; Crystallography","Triangle"
"Access to Financing and Within Firm Racial Pay Gap","2022","Debt; White (mutation); Student debt; Standardized test; Academic achievement; Test (biology); Political science; Sociology; Psychology; Economics; Pedagogy; Mathematics education; Macroeconomics; Biochemistry; Chemistry; Paleontology; Biology; Gene","UIUC"
"Accounting for Income Changes over the Great Recession (2007-2010) Relative to Previous Recessions: The Importance of Taxes and Transfers","2013","Recession; Economics; Great recession; Monetary economics; Labour economics; Keynesian economics","Cornell"
"Accounting for Income Changes over the Great Recession: The Importance of Taxes and Transfers","2015","Recession; Economics; Great recession; Monetary economics; Labour economics; Keynesian economics","Cornell"
"Accounting for Trade Patterns","2018","Appeal; Economics; Imperfect; Econometrics; Aggregate (composite); Variety (cybernetics); Price dispersion; Dispersion (optics); Comparative advantage; Variation (astronomy); Quality (philosophy); Statistics; Mathematics; International trade; Philosophy; Linguistics; Materials science; Physics; Optics; Epistemology; Political science; Astrophysics; Law; Composite material","Baruch"
"Acquiring Labor","2020","Business; Wage; Mergers and acquisitions; Value (mathematics); Labour economics; Economics; Finance; Computer science; Machine learning","Michigan"
"Acquiring Labor","2020","Business; Wage; Mergers and acquisitions; Value (mathematics); Labour economics; Economics; Finance; Computer science; Machine learning","Michigan"
"Acquiring Labor","2020","Business; Wage; Mergers and acquisitions; Value (mathematics); Labour economics; Economics; Finance; Computer science; Machine learning","Michigan"
"Age at Immigrant Arrival and Career Mobility: Evidence from Vietnamese Refugee Migration and the Amerasian Homecoming Act","2024","Homecoming; Vietnamese; Refugee; Immigration; Gender studies; Political science; History; Demographic economics; Sociology; Law; Philosophy; Linguistics; Economics; Art history","Boston"
"Agents of Change: Mixed-Race Households and the Dynamics of Neighborhood Segregation in the United States","2012","Race (biology); Census; Geography; Scale (ratio); Racial composition; Demographic economics; Space (punctuation); Demography; Sociology; Economics; Cartography; Gender studies; Population; Computer science; Operating system","UCLA"
"Agglomeration Spillovers and Persistence: new Evidence from Large Plant Openings","2022","Spillover effect; Transport infrastructure; Business; Panel data; Distribution (mathematics); Transportation infrastructure; Transport engineering; Control (management); Space (punctuation); Geographic information system; Poisson distribution; Location theory; Economic geography; Econometrics; Geography; Economics; Computer science; Statistics; Engineering; Mathematics; Mathematical analysis; Remote sensing; Management; Microeconomics; Operating system","Atlanta"
"Agglomerative Forces and Cluster Shapes","2015","Cluster (spacecraft); Economies of agglomeration; Hierarchical clustering; Economic geography; Yield (engineering); Computer science; Cluster analysis; Economics; Artificial intelligence; Physics; Microeconomics; Programming language; Thermodynamics","Boston"
"Agglomerative Forces and Cluster Shapes","2015","Cluster (spacecraft); Economies of agglomeration; Hierarchical clustering; Economic geography; Yield (engineering); Computer science; Cluster analysis; Economics; Artificial intelligence; Physics; Microeconomics; Programming language; Thermodynamics","Boston"
"Aggregating from Micro to Macro Patterns of Trade","2018","Macro; Computer science; Programming language","Baruch"
"Aggregating from Micro to Macro Patterns of Trade","2018","Macro; Computer science; Programming language","Baruch"
"Aggregating from Micro to Macro Patterns of Trade","2018","Macro; Computer science; Programming language","Baruch"
"Aggregating from Micro to Macro Patterns of Trade","2018","Macro; Computer science; Programming language","Baruch"
"All in the Tails? Pre-Entry Knowledge and the Distribution of Startup Performance","2023","Economics; Market power; Dynamism; Markup language; Monetary economics; Wage share; Market share; Profitability index; Distribution (mathematics); Profit (economics); Marginal cost; Labour economics; Microeconomics; Monopoly; Wage; Mathematical analysis; Physics; Mathematics; Finance; Quantum mechanics; Computer science; XML; Efficiency wage; Operating system","Minnesota"
"Allocation of Company Research and Development Expenditures to Industries Using a Tobit Model","2015","Tobit model; Business; Industrial organization; Economics; Econometrics","Washington"
"Amenity Values of Permanently Protected Open Space","2011","Easement; Perpetuity; Business; Land tenure; Public good; Agricultural land; Natural resource economics; Environmental planning; Agriculture; Focus group; Property rights; Wildlife; Environmental resource management; Economics; Finance; Geography; Political science; Marketing; Law; Ecology; Archaeology; Microeconomics; Biology","Chicago"
"Amenity Values of Proximity to National Wildlife Refuges","2011","Amenity; Wildlife refuge; Wildlife; Property value; Census; Geography; Value (mathematics); Residential property; Real property; Property (philosophy); Business; Economic geography; Ecology; Statistics; Real estate; Demography; Mathematics; Population; Finance; Sociology; Political science; Law; Biology; Philosophy; Epistemology","Chicago"
"Amenity values of proximity to National Wildlife Refuges: An analysis of urban residential property values","2013","Amenity; Wildlife refuge; Wildlife; Property value; Census; Geography; Value (mathematics); Residential property; Real property; Property (philosophy); Business; Economic geography; Ecology; Statistics; Real estate; Demography; Mathematics; Population; Finance; Sociology; Political science; Law; Biology; Philosophy; Epistemology","Chicago"
"Amenity values of proximity to National Wildlife Refuges: An analysis of urban residential property values","2013","Amenity; Wildlife refuge; Wildlife; Property value; Census; Geography; Value (mathematics); Residential property; Real property; Property (philosophy); Business; Economic geography; Ecology; Statistics; Real estate; Demography; Mathematics; Population; Finance; Sociology; Political science; Law; Biology; Philosophy; Epistemology","Chicago"
"American Indians Without Tribes in the Twenty-First Century","2013","Census; Indigenous; Tribe; Race (biology); Ethnic group; Identity (music); Demography; Salient; Genealogy; Geography; Ethnology; Sociology; Gender studies; History; Anthropology; Population; Ecology; Physics; Archaeology; Acoustics; Biology","Minnesota"
"An alternative approach to estimation of the energy efficiency gap in food processing","2021","Efficient energy use; Econometrics; Estimation; Percentile; Distribution (mathematics); Stochastic frontier analysis; Energy (signal processing); Economics; Statistics; Mathematics; Engineering; Production (economics); Microeconomics; Mathematical analysis; Management; Electrical engineering","Triangle"
"An Alternative Theory of the Plant Size Distribution with an Application to Trade","2010","Econometrics; Economics; Computer science; Mathematics","Washington"
"An Alternative Theory of the Plant Size Distribution with an Application to Trade","2010","Econometrics; Economics; Computer science; Mathematics","Washington"
"An Alternative Theory of the Plant Size Distribution, with Geography and Intra- and International Trade","2014","New trade theory; Econometrics; China; Distribution (mathematics); Economics; Census; Productivity; Market size; Trade theory; Confidentiality; International trade; Economic geography; Geography; Computer science; Mathematics; Commerce; Free trade; Trade barrier; Macroeconomics; Population; Mathematical analysis; Demography; Archaeology; Sociology; Computer security","Washington"
"An Analysis of Sample Selection and the Reliability of Using Short-term Earnings Averages in SIPP-SSA Matched Data","2011","Term (time); Statistics; Econometrics; Sample (material); Reliability (semiconductor); Selection (genetic algorithm); Mathematics; Computer science; Physics; Quantum mechanics; Power (physics); Artificial intelligence; Thermodynamics","Chicago"
"An Empirical Analysis of Capacity Costs","2017","Competition (biology); Barriers to entry; Comparative statics; Economics; Product (mathematics); Empirical research; Empirical evidence; Phrase; Product differentiation; Industrial organization; Microeconomics; Market structure; Computer science; Mathematics; Ecology; Biology; Philosophy; Statistics; Geometry; Epistemology; Artificial intelligence; Cournot competition","Michigan"
"An Energy Performance Indicator for Integrated Paper  and Paperboard Mills: A New Statistical Model Helps Mills Set Energy Efficiency Targets","2014","Poverty; Key (lock); Link (geometry); Political science; Computer science; Computer security; Computer network; Law","Triangle"
"An Examination of the Informational Value of Self-Reported Innovation Questions","2022","Absorptive capacity; Perspective (graphical); Knowledge management; Psychology; Sociology; Computer science; Artificial intelligence","Penn State"
"An Integrated Model of Regional and Local Residential Sorting with Application to Air Quality","2015","Sorting; Nested logit; Econometrics; Mixed logit; Quality (philosophy); Census tract; Air quality index; Discrete choice; Economics; Computer science; Logistic regression; Census; Geography; Population; Philosophy; Epistemology; Meteorology; Programming language; Machine learning; Demography; Sociology","Chicago"
"Antidumping Duties and Plant-Level Restructuring","2013","Restructuring; Proxy (statistics); Business; Population; Capital (architecture); Labor intensity; Duration (music); Economics; Market economy; Finance; Geography; Demography; Literature; Archaeology; Machine learning; Art; Sociology; Computer science","Boston"
"Antidumping Duties and Plant-Level Restructuring","2013","Restructuring; Proxy (statistics); Business; Population; Capital (architecture); Labor intensity; Duration (music); Economics; Market economy; Finance; Geography; Demography; Literature; Archaeology; Machine learning; Art; Sociology; Computer science","Boston"
"Antitrust Enforcement Increases Economic Activity","2023","Enforcement; Business; Law and economics; Economics; Political science; Law","Chicago"
"Antitrust Enforcement Increases Economic Activity","2023","Enforcement; Business; Law and economics; Economics; Political science; Law","Chicago"
"Are All Trade Protection Policies Created Equal? Empirical Evidence for Nonequivalent Market Power Effects of Tariffs and Quotas","2013","Economics; Market power; International economics; Empirical evidence; Power (physics); Commercial policy; International trade; Microeconomics; Physics; Philosophy; Epistemology; Monopoly; Quantum mechanics","Boston"
"Are Customs Records Consistent Across Countries? Evidence from the U.S. and Colombia","2020","Business; Tariff; Sample (material); International trade; Offshoring; Government (linguistics); Marketing; Outsourcing; Linguistics; Chemistry; Philosophy; Chromatography","Penn State"
"Are Firm Management Practices a Source of Energy Efficiency? Evidence from the U.S. Manufacturing Sector","2012","Productivity; Environmental regulation; Resource (disambiguation); Porter hypothesis; Industrial organization; Control (management); Economics; Environmental compliance; Business; Natural resource economics; Resource productivity; Environmental pollution; Environmental economics; Resource allocation; Environmental protection; Economic growth; Market economy; Environmental science; Computer network; Management; Computer science","Triangle"
"Are Firm-level Idiosyncratic Shocks Important for U.S. Aggregate Volatility?","2017","Volatility (finance); Economics; Monetary economics; Systematic risk; Aggregate (composite); Econometrics; Financial economics; Composite material; Materials science","Chicago"
"Are Franchises Bad Employers? Industrial and Labor Relations Review","2008","Transaction cost; Corporate governance; Industrial organization; Business; New institutional economics; Organizational economics; Economics; Microeconomics; Law and economics; Finance","Washington"
"Are Mutual Fund Managers Paid for Performance? Evidence from U.S. Administrative Earnings Data","2023","Earnings; Mutual fund; Business; Accounting; Finance","Boston"
"Are Older Workers Good for Business?","2023","European commission; European union; Population ageing; Culmination; Politics; Commission; Action (physics); Political science; Population; Political action; Public administration; Business; Economic growth; Economics; Sociology; Economic policy; Physics; Demography; Astronomy; Quantum mechanics; Law","Boston"
"Are Older Workers Good for Business?","2023","European commission; European union; Population ageing; Culmination; Politics; Commission; Action (physics); Political science; Population; Political action; Public administration; Business; Economic growth; Economics; Sociology; Economic policy; Physics; Demography; Astronomy; Quantum mechanics; Law","Boston"
"Are Some Innovation Self-Reports in the Annual Business Survey Biased? A Regression Discontinuity Test","2022","Psychology; Political science","Penn State"
"Are supply curves convex? Implications for state-dependent responses to shocks","2018","Liberian dollar; Economics; Demand shock; Econometrics; Production (economics); Monetary economics; Supply and demand; Limit (mathematics); Regular polygon; Microeconomics; Mathematics; Finance; Mathematical analysis; Geometry","Michigan"
"Ashes to Ashes: The Lifelong Consequences of Early-Life Wildfire Exposure","2023","Politics; Climate change; Political science; Core (optical fiber); Climate change mitigation; Electricity; Key (lock); Feeling; Power (physics); Jaccard index; Public relations; Business; Engineering; Computer science; Computer security; Psychology; Law; Social psychology; Telecommunications; Ecology; Physics; Quantum mechanics; Artificial intelligence; Pattern recognition (psychology); Biology; Electrical engineering","Atlanta"
"Ashes to Ashes: The Lifelong Consequences of Early-Life Wildfire Exposure","2023","Politics; Climate change; Political science; Core (optical fiber); Climate change mitigation; Electricity; Key (lock); Feeling; Power (physics); Jaccard index; Public relations; Business; Engineering; Computer science; Computer security; Psychology; Law; Social psychology; Telecommunications; Ecology; Physics; Quantum mechanics; Artificial intelligence; Pattern recognition (psychology); Biology; Electrical engineering","Atlanta"
"Assessing multi-dimensional performance: environmental and economic outcomes","2006","Production (economics); Economics; Stochastic frontier analysis; Production–possibility frontier; Natural resource economics; Econometrics; Pollution; Environmental pollution; Economic efficiency; Environmental science; Environmental economics; Microeconomics; Environmental protection; Ecology; Biology","Boston"
"Assessing the Impact of Trade Liberalization on Import-Competing Industries in the Appalachian Region","2004","Earnings; Competition (biology); Empirical evidence; Economics; Rural area; Regional trade; International economics; International trade; Labour economics; Business; Demographic economics; Free trade; Political science; Finance; Ecology; Philosophy; Epistemology; Law; Biology","Boston"
"Asset Allocation in Bankruptcy","2019","Bankruptcy; Business; Asset (computer security); Asset allocation; Finance; Microeconomics; Monetary economics; Economics; Computer science; Computer security; Portfolio","Stanford"
"Asset Allocation in Bankruptcy","2019","Bankruptcy; Business; Asset (computer security); Asset allocation; Finance; Microeconomics; Monetary economics; Economics; Computer science; Computer security; Portfolio","Stanford"
"Associations between Public Housing and Individual Earnings in New Orleans","2015","Earnings; American Community Survey; Census; Public use; Subsidy; Restructuring; Demographic economics; Multilevel model; Sample (material); Public housing; Economic restructuring; Subsidized housing; Geography; Economics; Political science; Economic growth; Demography; Sociology; Finance; Population; Market economy; Chemistry; Chromatography; Machine learning; Computer science; Law","Texas"
"Augmenting the Human Capital Earnings Equation with Measures of Where People Work","2018","Earnings; Human capital; Economics; Labour economics; Variance (accounting); Inequality; Work (physics); Sorting; Panel data; Demographic economics; Econometrics; Accounting; Mechanical engineering; Mathematics; Engineering; Economic growth; Mathematical analysis; Computer science; Programming language","Boston"
"Augmenting the Human Capital Earnings Equation with Measures of Where People Work","2018","Earnings; Human capital; Economics; Labour economics; Variance (accounting); Inequality; Work (physics); Sorting; Panel data; Demographic economics; Econometrics; Accounting; Mechanical engineering; Mathematics; Engineering; Economic growth; Mathematical analysis; Computer science; Programming language","Boston"
"Augmenting the Human Capital Earnings Equation with Measures of Where People Work","2018","Earnings; Human capital; Economics; Labour economics; Variance (accounting); Inequality; Work (physics); Sorting; Panel data; Demographic economics; Econometrics; Accounting; Mechanical engineering; Mathematics; Engineering; Economic growth; Mathematical analysis; Computer science; Programming language","Boston"
"Augmenting the Human Capital Earnings Equation with Measures of Where People Work","2018","Earnings; Human capital; Economics; Labour economics; Variance (accounting); Inequality; Work (physics); Sorting; Panel data; Demographic economics; Econometrics; Accounting; Mechanical engineering; Mathematics; Engineering; Economic growth; Mathematical analysis; Computer science; Programming language","Boston"
"Banking Deregulations, Financing Constraints and Firm Entry Size","2010","Margin (machine learning); Business; Barriers to entry; Monetary economics; Economies of scale; Scale (ratio); Finance; Economics; Industrial organization; Marketing; Market structure; Geography; Cartography; Machine learning; Computer science","Boston"
"Banking Deregulations, Financing Constraints and Firm Entry Size","2010","Margin (machine learning); Business; Barriers to entry; Monetary economics; Economies of scale; Scale (ratio); Finance; Economics; Industrial organization; Marketing; Market structure; Geography; Cartography; Machine learning; Computer science","Boston"
"Bankruptcy Spillovers","2019","Bankruptcy; Microdata (statistics); Spillover effect; Externality; Exploit; Business; Restructuring; Economics; Monetary economics; Census; Finance; Microeconomics; Population; Demography; Computer security; Sociology; Computer science","Stanford"
"Bankruptcy Spillovers","2019","Bankruptcy; Microdata (statistics); Spillover effect; Externality; Exploit; Business; Restructuring; Economics; Monetary economics; Census; Finance; Microeconomics; Population; Demography; Computer security; Sociology; Computer science","Stanford"
"Bankruptcy Spillovers","2019","Bankruptcy; Microdata (statistics); Spillover effect; Externality; Exploit; Business; Restructuring; Economics; Monetary economics; Census; Finance; Microeconomics; Population; Demography; Computer security; Sociology; Computer science","Stanford"
"Bargaining Power in Firm-to-Firm Relationships - ‎Two Methodologies to Detect Outliers in the Census Trade Data","2017","Outlier; Value (mathematics); Census; Econometrics; Unit (ring theory); Bargaining power; Computer science; Economics; Business; Industrial organization; Database; Statistics; Microeconomics; Mathematics; Artificial intelligence; Population; Demography; Mathematics education; Sociology","Baruch"
"Bayesian Approaches to File Linking with Faulty Data","2017","Bayesian probability; Computer science; Computer file; Data mining; Data science; Database; Artificial intelligence","Triangle"
"Bayesian Unit Level Modeling of Non-Gaussian Survey Data Under Informative Sampling with Application to Small Area Estimation","2021","Small area estimation; Categorical variable; Computer science; Sampling (signal processing); Data mining; Bayesian probability; Bayes' theorem; Benchmarking; Hierarchical database model; Machine learning; Kriging; Unit (ring theory); Statistics; Artificial intelligence; Mathematics; Estimator; Filter (signal processing); Marketing; Business; Computer vision; Mathematics education","Missouri"
"Beyond Cobb-Douglas: Estimation of a CES Production Function with Factor Augmenting Technology","2011","CobB; Estimation; Production (economics); Cobb–Douglas production function; Factor (programming language); Function (biology); Statistics; Computer science; Econometrics; Geography; Mathematics; Engineering; Economics; Microeconomics; Biology; Systems engineering; Programming language; Genetics; Evolutionary biology","Chicago"
"Beyond Ethnic Enclaves? Exploring the Spatial Distribution of Latino-Owned Employer Firms in Two U.S. Immigration Gateways","2013","Ethnic group; Metropolitan area; Miami; Immigration; Atlanta; Destinations; Population; Demographic economics; Distribution (mathematics); Economic geography; Economies of agglomeration; Economic growth; Business; Geography; Political science; Sociology; Economics; Demography; Mathematical analysis; Environmental science; Mathematics; Archaeology; Tourism; Soil science; Law","Triangle"
"Bias in Food Stamp Participation Estimates in the Presence of Misreporting Error","2012","Food stamps; Receipt; Census; Food Stamp Program; Survey of Income and Program Participation; Estimation; Econometrics; Covariate; Selection bias; Order (exchange); Statistics; Economics; Demographic economics; Environmental health; Mathematics; Accounting; Medicine; Population; Management; Finance; Welfare; Market economy","Chicago"
"Bias in Food Stamps Participation Estimates in the Presence of Misreporting Error","2013","Food stamps; Receipt; Census; Food Stamp Program; Survey of Income and Program Participation; Estimation; Econometrics; Covariate; Selection bias; Order (exchange); Statistics; Economics; Demographic economics; Environmental health; Mathematics; Accounting; Medicine; Population; Management; Finance; Welfare; Market economy","Chicago"
"Black Pioneers, Intermetropolitan Movers, and Housing Desegregation","2016","Desegregation; Political science; Public administration","UCLA"
"Black-White Differences in Intergenerational Economic Mobility in the U.S","2011","Social mobility; Race (biology); Economic mobility; White (mutation); Variety (cybernetics); Demographic economics; Economics; Demography; Sociology; Economic growth; Poverty; Gender studies; Social science; Biochemistry; Chemistry; Artificial intelligence; Computer science; Gene","Chicago"
"Black-White Differences in Intergenerational Economic Mobility in the United States","2014","White (mutation); Economic mobility; Social mobility; Economics; Demographic economics; Political science; Economic growth; Poverty; Chemistry; Biochemistry; Law; Gene","Chicago"
"Boom town business dynamics","2023","Boom; Oil shale; Business cycle; Economics; Oil boom; Baby boom; Labour economics; Macroeconomics; Engineering; Population; Demography; Waste management; Environmental engineering; Sociology","Fed Board"
"Breaking Up Is Hard To Do: Why Firms Fragment Production Across Locations","2013","Fragment (logic); Production (economics); Business; Industrial organization; Computer science; Economics; Microeconomics; Algorithm","Boston"
"Bright Minds, Big Rent: Gentrification and the Rising Returns to Skill","2016","Gentrification; Economics; Labour economics; Financial economics; Business; Economic growth","Baruch"
"Bright Minds, Big Rent: Gentrification and the Rising Returns to Skill","2016","Gentrification; Economics; Labour economics; Financial economics; Business; Economic growth","Baruch"
"Brighter Prospects? Assessing the Franchise Advantage using Census Data","2019","Microdata (statistics); Franchise; Census; Selection bias; Small business; Business; Selection (genetic algorithm); Marketing; Empirical evidence; Economics; Actuarial science; Statistics; Computer science; Population; Philosophy; Demography; Mathematics; Epistemology; Artificial intelligence; Sociology","Michigan"
"Brighter Prospects? Assessing the Franchise Advantage using Census Data","2019","Microdata (statistics); Franchise; Census; Selection bias; Small business; Business; Selection (genetic algorithm); Marketing; Empirical evidence; Economics; Actuarial science; Statistics; Computer science; Population; Philosophy; Demography; Mathematics; Epistemology; Artificial intelligence; Sociology","Michigan"
"Broad-Based Employee Stock Ownership: Motives and Outcomes","2014","Shareholder; Business; Compensation of employees; Incentive; Cash; Stock (firearms); Productivity; Stock options; Labour economics; Finance; Compensation (psychology); Economics; Corporate governance; Microeconomics; Mechanical engineering; Psychology; Psychoanalysis; Engineering; Macroeconomics","Michigan"
"Building New Plants or Entering by Acquisition? Estimation of an Entry Model for the U.S. Cement Industry","2010","Industrial organization; Total factor productivity; Business; Cement; Estimation; Barriers to entry; Productivity; Economics; Market structure; Macroeconomics; Management; History; Archaeology","Chicago"
"Building New Plants or Entering by Acquisition? Firm Heterogeneity and Entry Barriers in the U.S. Cement Industry","2015","Industrial organization; Business; Permissive; Cement; Economics; Microeconomics; History; Genetics; Archaeology; Biology","Chicago"
"Bureaucracies of Exclusion: Immigrant Incorporation and Inequality in Hawaiʻi","2023","Empire; Militarism; Colonialism; Indigenous; Capitalism; History; Geography; Anthropology; Sociology; Political science; Ancient history; Ecology; Archaeology; Politics; Law; Biology","Irvine"
"Business, Owner, and Regional Characteristics in Latino-owned Business Growth: An Empirical Analysis Using Confidential Census Microdata","2020","Microdata (statistics); Census; Demographic economics; Business; Population; Confidentiality; Economic growth; Economics; Political science; Demography; Sociology; Law","Texas"
"Can Displaced Labor Be Retrained? Evidence from Quasi-Random Assignment to Trade Adjustment Assistance","2022","Random assignment; Labour economics; Computer science; Economics; Mathematics; Statistics","Baruch"
"Can Displaced Labor Be Retrained? Evidence from Quasi-Random Assignment to Trade Adjustment Assistance","2022","Random assignment; Labour economics; Computer science; Economics; Mathematics; Statistics","Baruch"
