title,year,datasets,display_author_names,raw_author_names,doi,abstract,institution_display_names,raw_affiliation_strings,detailed_affiliations,original_keywords,original_agency,keywords
A Dynamic Approach to Explain Flood Risk Exposures and Household Choice,2023,,,,https://doi.org/10.1016/j.gloenvcha.2006.02.006,,University of East Anglia; Tyndall Centre,"Tyndall Centre for Climate Change Research, School of Environmental Sciences, University of East Anglia, Norwich NR4 7TJ, UK","Tyndall Centre for Climate Change Research, School of Environmental Sciences, University of East Anglia, Norwich NR4 7TJ, UK",Vulnerability (computing); Social vulnerability; Psychological resilience; Adaptive capacity; Environmental resource management; Hazard; Harm; Vulnerability assessment; Resilience (materials science); Adaptation (eye); Climate change; Psychology; Ecology; Social psychology; Economics; Computer science; Computer security; Biology; Physics; Neuroscience; Thermodynamics,Kentucky,"Vulnerability (computing), Social vulnerability, Psychological resilience, Adaptive capacity, Environmental resource management, Hazard, Harm, Vulnerability assessment, Resilience (materials science), Adaptation (eye), Climate change, Psychology, Ecology, Social psychology, Economics, Computer science, Computer security, Biology, Physics, Neuroscience, Thermodynamics"
A Firm's Information Environment and Employee Wages,2018,,,,https://doi.org/10.2139/ssrn.3103237,,European Corporate Governance Institute; Northeastern University; University of Washington; University of Tennessee at Knoxville,University of Washington - Department of Accounting; European Corporate Governance Institute (ECGI); University of Tennessee; Northeastern University - D’Amore-McKim School of Business,University of Washington - Department of Accounting; European Corporate Governance Institute (ECGI); University of Tennessee; Northeastern University - D’Amore-McKim School of Business,Business; Labour economics; Economics,Boston,"Business, Labour economics, Economics"
A Gendered (R)evolution: Intergenerational Educational Attainment Among Children of Immigrants Across the Twentieth Century,2022,,,,https://doi.org/10.1787/217730505550,,Organisation de Coopération et de Développement Economiques,OECD France,OECD France,Disadvantage; Earnings; Social mobility; Demographic economics; Investment (military); Transmission channel; Economics; Labour economics; Transmission (telecommunications); Sociology; Political science; Social science; Electrical engineering; Accounting; Politics; Law; Engineering,Penn State,"Disadvantage, Earnings, Social mobility, Demographic economics, Investment (military), Transmission channel, Economics, Labour economics, Transmission (telecommunications), Sociology, Political science, Social science, Electrical engineering, Accounting, Politics, Law, Engineering"
A Global View of Creative Destruction,2019,,,,https://doi.org/10.3386/w26461,,Stanford University; University of Chicago; National Bureau of Economic Research,"Booth School of Business University of Chicago 5807 S Woodlawn Ave Chicago, IL 60637 and; Department of Economics 579 Serra Mall Stanford University Stanford, CA 94305-6072; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; University of Chicago","Booth School of Business University of Chicago 5807 S Woodlawn Ave Chicago, IL 60637 and; Department of Economics 579 Serra Mall Stanford University Stanford, CA 94305-6072; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; University of Chicago",Geography,Chicago,Geography
A matter of taste: Estimating import price inflation across U.S. income groups,2020,,,,https://doi.org/10.1016/j.jinteco.2020.103382,,Federal Reserve Board of Governors; Federal Reserve,"Board of Governors of the Federal Reserve System, 20th Street and Constitution Avenue, N.W. Washington, D.C. 20551, United States of America","Board of Governors of the Federal Reserve System, 20th Street and Constitution Avenue, N.W. Washington, D.C. 20551, United States of America",Economics; Inflation (cosmology); Decile; Price level; Monetary economics; Construct (python library); Econometrics; Statistics; Physics; Mathematics; Theoretical physics; Computer science; Programming language,Michigan,"Economics, Inflation (cosmology), Decile, Price level, Monetary economics, Construct (python library), Econometrics, Statistics, Physics, Mathematics, Theoretical physics, Computer science, Programming language"
A method for measuring the efficiency gap between average and best practice energy use: The ENERGY STAR industrial energy performance indicator,2005,,,,https://doi.org/10.1162/1088198054821609,,Argonne National Laboratory,"Staff economist at the Argonne National Laboratory in Argonne, Illinois, USA and the Chairman of the Chicago Census Research Data Center.","Staff economist at the Argonne National Laboratory in Argonne, Illinois, USA and the Chairman of the Chicago Census Research Data Center.",Energy intensity; Context (archaeology); Stochastic frontier analysis; Regression analysis; Econometrics; Computer science; Inefficiency; Data envelopment analysis; Energy (signal processing); Parametric statistics; Measure (data warehouse); Best practice; Industrial engineering; Statistics; Engineering; Economics; Mathematics; Data mining; Production (economics); Machine learning; Microeconomics; Paleontology; Management; Biology,Washington,"Energy intensity, Context (archaeology), Stochastic frontier analysis, Regression analysis, Econometrics, Computer science, Inefficiency, Data envelopment analysis, Energy (signal processing), Parametric statistics, Measure (data warehouse), Best practice, Industrial engineering, Statistics, Engineering, Economics, Mathematics, Data mining, Production (economics), Machine learning, Microeconomics, Paleontology, Management, Biology"
A Method of Correcting for Misreporting Applied to the Food Stamp Program,2013,,,,https://doi.org/10.2139/ssrn.2272239,,University of Chicago,University of Chicago - Harris School of Public Policy,University of Chicago - Harris School of Public Policy,Food Stamp Program; Computer science; Food stamps; Political science; Law; Welfare,Chicago,"Food Stamp Program, Computer science, Food stamps, Political science, Law, Welfare"
A Method of Correcting for Misreporting Applied to the Food Stamp Program,2013,,,,https://doi.org/10.2139/ssrn.2272239,,University of Chicago,University of Chicago - Harris School of Public Policy,University of Chicago - Harris School of Public Policy,Food Stamp Program; Computer science; Food stamps; Political science; Law; Welfare,Chicago,"Food Stamp Program, Computer science, Food stamps, Political science, Law, Welfare"
"A New Estimate of the Impact of OSHA Inspections on Manufacturing Injury Rates, 1998-2005",2012,,,,https://doi.org/10.1002/ajim.22062,,Clark University; University of Pittsburgh; RAND Corporation; National Bureau of Economic Research,"RAND Corporation, Pittsburgh, Pennsylvania; Department of Economics, Clark University and Research Associate, National Bureau of Economic Research, Worcester, Massachusetts; RAND Corporation , Pittsburgh , Pennsylvania , USA; RAND Corporation and University of Pittsburgh, Pittsburgh, Pennsylvania","RAND Corporation, Pittsburgh, Pennsylvania; Department of Economics, Clark University and Research Associate, National Bureau of Economic Research, Worcester, Massachusetts; RAND Corporation , Pittsburgh , Pennsylvania , USA; RAND Corporation and University of Pittsburgh, Pittsburgh, Pennsylvania",Medicine; Workers' compensation; Occupational safety and health; Unemployment; Environmental health; Compensation (psychology); Occupational injury; Injury prevention; Occupational medicine; Poison control; Occupational exposure; Economics; Psychology; Pathology; Psychoanalysis; Economic growth,Boston,"Medicine, Workers' compensation, Occupational safety and health, Unemployment, Environmental health, Compensation (psychology), Occupational injury, Injury prevention, Occupational medicine, Poison control, Occupational exposure, Economics, Psychology, Pathology, Psychoanalysis, Economic growth"
A Note on the Locational Determinants of the Agricultural Supply Chain,2021,,,,https://doi.org/10.1111/j.0092-5853.2003.00520.x,,"Michigan State University; Cornell University; Health Policy Alternatives, Inc.","Development Alternatives Incorporated, Bethesda, Maryland; Cornell University, Ithaca, New York; Michigan State University, East Lansing, Michigan; Santiago, Chile","Development Alternatives Incorporated, Bethesda, Maryland; Cornell University, Ithaca, New York; Michigan State University, East Lansing, Michigan; Santiago, Chile",Latin Americans; Geography; Agricultural economics; Political science; Economics; Law,Texas,"Latin Americans, Geography, Agricultural economics, Political science, Economics, Law"
A Quasi-Experimental Approach to Identifying Compensating Wage Differentials for Occupational Risks,2012,,,,https://doi.org/10.17848/9780585223940,,,,,Disadvantaged; Real estate; Unemployment; Earnings; Labour economics; Competition (biology); Economics; State (computer science); Estate; Affect (linguistics); Empirical evidence; Economic growth; Finance; Ecology; Algorithm; Computer science; Biology; Linguistics; Philosophy; Epistemology,Boston,"Disadvantaged, Real estate, Unemployment, Earnings, Labour economics, Competition (biology), Economics, State (computer science), Estate, Affect (linguistics), Empirical evidence, Economic growth, Finance, Ecology, Algorithm, Computer science, Biology, Linguistics, Philosophy, Epistemology"
A Search and Learning Model of Export Dynamics,2021,,,,https://doi.org/10.3386/w29100,,Copenhagen Business School; Pennsylvania State University; National Bureau of Economic Research; Universidad de Los Andes; United States Census Bureau; International Paper (United States),"Copenhagen Business School; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; Department of Economics Universidad de los Andes Calle 19A # 1-37 Este. Bloque W of. 810 Bogotá, Colombia; NBER Working Paper No. 29100; Department of Economics Penn State University 517 Kern Graduate Building University Park, PA 16802 and; Center for Economic Studies U.S. Census Bureau 4600 Silver Hill Road Washington, DC 20233; Department of Economics Pennsylvania State University 303 Kern Graduate Building University Park, PA 16801 and","Copenhagen Business School; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; Department of Economics Universidad de los Andes Calle 19A # 1-37 Este. Bloque W of. 810 Bogotá, Colombia; NBER Working Paper No. 29100; Department of Economics Penn State University 517 Kern Graduate Building University Park, PA 16802 and; Center for Economic Studies U.S. Census Bureau 4600 Silver Hill Road Washington, DC 20233; Department of Economics Pennsylvania State University 303 Kern Graduate Building University Park, PA 16801 and",Dynamics (music); Computer science; Econometrics; Economics; Psychology; Pedagogy,Penn State,"Dynamics (music), Computer science, Econometrics, Economics, Psychology, Pedagogy"
A Search and Learning Model of Export Dynamics,2021,,,,https://doi.org/10.3386/w29100,,Copenhagen Business School; Pennsylvania State University; National Bureau of Economic Research; Universidad de Los Andes; United States Census Bureau; International Paper (United States),"Copenhagen Business School; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; Department of Economics Universidad de los Andes Calle 19A # 1-37 Este. Bloque W of. 810 Bogotá, Colombia; NBER Working Paper No. 29100; Department of Economics Penn State University 517 Kern Graduate Building University Park, PA 16802 and; Center for Economic Studies U.S. Census Bureau 4600 Silver Hill Road Washington, DC 20233; Department of Economics Pennsylvania State University 303 Kern Graduate Building University Park, PA 16801 and","Copenhagen Business School; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; Department of Economics Universidad de los Andes Calle 19A # 1-37 Este. Bloque W of. 810 Bogotá, Colombia; NBER Working Paper No. 29100; Department of Economics Penn State University 517 Kern Graduate Building University Park, PA 16802 and; Center for Economic Studies U.S. Census Bureau 4600 Silver Hill Road Washington, DC 20233; Department of Economics Pennsylvania State University 303 Kern Graduate Building University Park, PA 16801 and",Dynamics (music); Computer science; Econometrics; Economics; Psychology; Pedagogy,Penn State,"Dynamics (music), Computer science, Econometrics, Economics, Psychology, Pedagogy"
A study of the extent and potential causes of alternative employment arrangements,2013,,,,https://doi.org/10.1177/001979391306600406,,,,,Sample (material); Work (physics); Economics; Public economics; Engineering; Mechanical engineering; Chemistry; Chromatography,Washington,"Sample (material), Work (physics), Economics, Public economics, Engineering, Mechanical engineering, Chemistry, Chromatography"
A tale of two cities: physical form and neighborhood satisfaction in metropolitan Portland and Charlotte,2008,,,,https://doi.org/10.1080/01944360802215546,,University of Oregon,"Department of Planning, Public Policy and Management , University of Oregon","Department of Planning, Public Policy and Management , University of Oregon",Metropolitan area; Context (archaeology); Land use; Scale (ratio); Quality (philosophy); Quality of life (healthcare); Life satisfaction; Geography; Psychology; Social psychology; Cartography; Engineering; Civil engineering; Archaeology; Philosophy; Epistemology; Psychotherapist,Cornell,"Metropolitan area, Context (archaeology), Land use, Scale (ratio), Quality (philosophy), Quality of life (healthcare), Life satisfaction, Geography, Psychology, Social psychology, Cartography, Engineering, Civil engineering, Archaeology, Philosophy, Epistemology, Psychotherapist"
A Warm Embrace or the Cold Shoulder? Wage and Employment Outcomes in Ethnic Enclaves,2014,,,,https://doi.org/10.2139/ssrn.1143387,,Scripps College; Claremont Colleges; Southern California University for Professional Studies; University of Southern California,"Claremont Colleges, Scripps College - Department of Economics; University of Southern California","Claremont Colleges, Scripps College - Department of Economics; University of Southern California",Ethnic group; Wage; Demographic economics; Low wage; Labour economics; Political science; Economics; Law,UCLA,"Ethnic group, Wage, Demographic economics, Low wage, Labour economics, Political science, Economics, Law"
"Information technology, firm size, and industrial concentration",2023,,,,https://doi.org/10.3386/w31065,,Boston University; National Bureau of Economic Research,"Stanford Digital Economy Laboratory 353 Jane Stanford Way Stanford, CA 94305; Stanford Digital Economy Laboratory 765 Commonwealth Avenue Boston, MA 02215; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; University TPRI; Boston University and; Stanford Digital Economy Laboratory 353 Jane Stanford Way, Office 136 Stanford, CA 94305 and","Stanford Digital Economy Laboratory 353 Jane Stanford Way Stanford, CA 94305; Stanford Digital Economy Laboratory 765 Commonwealth Avenue Boston, MA 02215; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138; University TPRI; Boston University and; Stanford Digital Economy Laboratory 353 Jane Stanford Way, Office 136 Stanford, CA 94305 and",Business; Industrial organization; Information technology; Computer science; Operating system,Boston,"Business, Industrial organization, Information technology, Computer science, Operating system"
“Characteristics of Employers Providing Dental Coverage in the U.S.,2010,,,,https://doi.org/10.1093/qje/qjs020,,Harvard University; National Bureau of Economic Research,Oregon Health Study Group; Bureau of Economic Research and Harvard University,Oregon Health Study Group; Bureau of Economic Research and Harvard University,Lottery; Medicaid; Public health insurance; Treatment and control groups; Health insurance; Debt; Health care; Public health; Medicine; Randomized controlled trial; Actuarial science; Environmental health; Family medicine; Business; Finance; Nursing; Economics; Economic growth; Surgery; Pathology; Microeconomics,Washington,"Lottery, Medicaid, Public health insurance, Treatment and control groups, Health insurance, Debt, Health care, Public health, Medicine, Randomized controlled trial, Actuarial science, Environmental health, Family medicine, Business, Finance, Nursing, Economics, Economic growth, Surgery, Pathology, Microeconomics"
"“It's Not You, It's Me”: Prices, Quality, and Switching in U.S.-China Trade Relationships",2022,,,,https://doi.org/10.1162/rest_a_01015,,Syracuse University,Syracuse University,Syracuse University,China; Quality (philosophy); Index (typography); Business; Industrial organization; Economics; Microeconomics; Computer science; Philosophy; Epistemology; World Wide Web; Political science; Law,Michigan,"China, Quality (philosophy), Index (typography), Business, Industrial organization, Economics, Microeconomics, Computer science, Philosophy, Epistemology, World Wide Web, Political science, Law"
"Access to Credit, Market Selection, and Economic Growth",2012,,,,https://doi.org/10.2307/2095101,,Stanford University; Woodrow Wilson International Center for Scholars; Princeton University,Princeton University - Sociology Department and Woodrow Wilson School of Public and International Affairs; Stanford University (),Princeton University - Sociology Department and Woodrow Wilson School of Public and International Affairs; Stanford University (),Rationality; Isomorphism (crystallography); Organizational field; Cage; Sociology; Political science; Business; Institutional theory; Mathematics; Combinatorics; Social science; Law; Chemistry; Crystal structure; Crystallography,Triangle,"Rationality, Isomorphism (crystallography), Organizational field, Cage, Sociology, Political science, Business, Institutional theory, Mathematics, Combinatorics, Social science, Law, Chemistry, Crystal structure, Crystallography"
Access to Financing and Within Firm Racial Pay Gap,2022,,,,https://doi.org/10.3102/0013189x035007003,,,"GLORIA LADSON-BILLINGS, the 2005–2006 President of AERA, is the Kellner Family Chair in Urban Education in the Department of Curriculum and Instruction, and Faculty Affiliate in the Department of Educational Policy Studies, University of Wisconsin, 225 N. Mills Street, Madison, WI 53706;. Her research interests are in culturally relevant pedagogy and applications of critical race theory to education","GLORIA LADSON-BILLINGS, the 2005–2006 President of AERA, is the Kellner Family Chair in Urban Education in the Department of Curriculum and Instruction, and Faculty Affiliate in the Department of Educational Policy Studies, University of Wisconsin, 225 N. Mills Street, Madison, WI 53706;. Her research interests are in culturally relevant pedagogy and applications of critical race theory to education",Debt; White (mutation); Student debt; Standardized test; Academic achievement; Test (biology); Political science; Sociology; Psychology; Economics; Pedagogy; Mathematics education; Macroeconomics; Biochemistry; Chemistry; Paleontology; Biology; Gene,UIUC,"Debt, White (mutation), Student debt, Standardized test, Academic achievement, Test (biology), Political science, Sociology, Psychology, Economics, Pedagogy, Mathematics education, Macroeconomics, Biochemistry, Chemistry, Paleontology, Biology, Gene"
Accounting for Income Changes over the Great Recession (2007-2010) Relative to Previous Recessions: The Importance of Taxes and Transfers,2013,,,,https://doi.org/10.3386/w19699,,Cornell University; The University of Melbourne; United States Congress; Policy Analysis (United States); National Bureau of Economic Research,"University of Melbourne and also NBER; Cornell University Department of Policy Analysis & Management 259 MVR Hall Ithaca, NY 14853-4401 and; Joint Committee on Taxation 1625 Longworth House Office Building Washington, D.C. 20515; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138","University of Melbourne and also NBER; Cornell University Department of Policy Analysis & Management 259 MVR Hall Ithaca, NY 14853-4401 and; Joint Committee on Taxation 1625 Longworth House Office Building Washington, D.C. 20515; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138",Recession; Economics; Great recession; Monetary economics; Labour economics; Keynesian economics,Cornell,"Recession, Economics, Great recession, Monetary economics, Labour economics, Keynesian economics"
Accounting for Income Changes over the Great Recession: The Importance of Taxes and Transfers,2015,,,,https://doi.org/10.3386/w19699,,Cornell University; The University of Melbourne; United States Congress; Policy Analysis (United States); National Bureau of Economic Research,"University of Melbourne and also NBER; Cornell University Department of Policy Analysis & Management 259 MVR Hall Ithaca, NY 14853-4401 and; Joint Committee on Taxation 1625 Longworth House Office Building Washington, D.C. 20515; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138","University of Melbourne and also NBER; Cornell University Department of Policy Analysis & Management 259 MVR Hall Ithaca, NY 14853-4401 and; Joint Committee on Taxation 1625 Longworth House Office Building Washington, D.C. 20515; NATIONAL BUREAU OF ECONOMIC RESEARCH 1050 Massachusetts Avenue Cambridge, MA 02138",Recession; Economics; Great recession; Monetary economics; Labour economics; Keynesian economics,Cornell,"Recession, Economics, Great recession, Monetary economics, Labour economics, Keynesian economics"
Accounting for Trade Patterns,2018,,,,https://doi.org/10.1016/j.jinteco.2024.103910,,Center for Economic and Policy Research; Columbia University; Princeton University,"CEPR, United States of America; Columbia University and NBER, 420 W. 118th Street, MC 3308, New York, NY, 10027, United States of America; Princeton University, JRR Building, Princeton, NJ 08544, United States of America; NBER, United States of America","CEPR, United States of America; Columbia University and NBER, 420 W. 118th Street, MC 3308, New York, NY, 10027, United States of America; Princeton University, JRR Building, Princeton, NJ 08544, United States of America; NBER, United States of America",Appeal; Economics; Imperfect; Econometrics; Aggregate (composite); Variety (cybernetics); Price dispersion; Dispersion (optics); Comparative advantage; Variation (astronomy); Quality (philosophy); Statistics; Mathematics; International trade; Philosophy; Linguistics; Materials science; Physics; Optics; Epistemology; Political science; Astrophysics; Law; Composite material,Baruch,"Appeal, Economics, Imperfect, Econometrics, Aggregate (composite), Variety (cybernetics), Price dispersion, Dispersion (optics), Comparative advantage, Variation (astronomy), Quality (philosophy), Statistics, Mathematics, International trade, Philosophy, Linguistics, Materials science, Physics, Optics, Epistemology, Political science, Astrophysics, Law, Composite material"
