Title,Year,Agency,Keywords
Pollution abatement expenditures and plant-level productivity: A production function approach,2005,Boston,productivity production;level;abatement expenditures
"What Determines Environmental Performance at Paper Mills? The Roles of Abatement Spending, Regulation, and Efficiency",2003,Boston,spending regulation;mills roles;abatement spending;determines;efficiency
A Change of PACE: A Comparison of the 1994 and 1999 Pollution Abatement Costs and Expenditures Survey,2005,Boston,survey;comparison;1994 1999;1999 pollution;abatement
"What Determines Environmental Performance at Paper Mills? The Roles of Abatement Spending, Regulation, and Efficiency",2003,Boston,spending regulation;mills roles;abatement spending;determines;efficiency
"When and Why do Plants Comply? Paper Mills in the 1980s”, Law and Policy, Vol. 27 (2) April 2005, pp. 238-261.",2005,Boston,vol 27;comply paper;1980s law;2005;238
Regional Income Inequality and International Trade,2009,Washington,trade;regional income
"International Trade, Employment and Earnings: Evidence from U.S. Rural Counties",2004,Washington,trade employment;rural counties;international trade
"International Trade, Employment and Earnings: Evidence from U.S. Rural Counties",2003,Washington,trade employment;rural counties;international trade
International Trade and the Changing Demand for Skilled Workers in High-Tech Manufacturing,2007,Washington,workers high;international trade;changing demand
Regional Income Inequality and International Trade,2003,Washington,trade;regional income
International Trade and the Changing Demand for Skilled Workers in High-Tech Manufacturing,2008,Washington,workers high;international trade;changing demand
"The Impact of Market Mechanisms and HACCP Regulation on Food Safety Quality
",2004,Washington,safety quality;regulation food;mechanisms haccp
The economic forces driving the costs of food safety regulation ,2006,Washington,safety regulation;forces driving;food safety
"Market Forces, Plant Technology, and the Food Safety Technology Use ",2008,Washington,technology;use;safety
The economic forces driving food safety quality in meat and poultry,2008,Washington,safety quality;quality meat;poultry
Why Do Employers Pay for College?,2004,Washington,pay college;employers pay
A study of the extent and potential causes of alternative employment arrangements,2013,Washington,study extent;potential causes;extent potential
Why do Employers Retrain At-Risk Workers? The Role of Social Capital,2004,Washington,workers role;social capital
Determinants and Outcomes of Employee Selection Procedures,2003,Washington,selection procedures;outcomes employee
Are Franchises Bad Employers? Industrial and Labor Relations Review,2008,Washington,review;relations;labor
NES Documentation. Unpublished Manuscript,2003,Washington,unpublished manuscript;nes documentation
Earnings Responses to Increases in Payroll Taxes,2006,Boston,taxes;responses increases
Redistribution in the Current U.S. Social Security System,2002,Boston,social security;redistribution current
The Distributional Effects of an Investment-based Social Security System,2002,Boston,social security;investment based
Should Taxes Be Based on Lifetime Income? ,2003,Boston,taxes based;lifetime income
"Why are Black-Owned Businesses Less Successful than White-Owned Businesses? The Role of Families, Inheritances, and Business Human Capital",2007,Washington,businesses;owned;families inheritances;business human
"Families, Human Capital, and Small Business: Evidence from the characteristics of Business Owners Survey,” ",2005,Washington,business;capital;characteristics;evidence;survey
"Families, Human Capital, and Small Business: Evidence from the characteristics of Business Owners Survey",2007,Washington,business;capital;characteristics;evidence;survey
"Why are Black-Owned Businesses Less Successful than White-Owned Businesses? The Role of Families, Inheritances, and Business Human Capital",2005,Washington,businesses;owned;families inheritances;business human
Marshall’s Scale Economies,2003,Boston,scale economies;marshall scale
Quality Sorting and Networking: Evidence from the Advertising Agency Industry,2005,Boston,sorting networking;quality sorting;networking evidence
Networking off Madison Avenue,2008,Boston,networking madison;madison avenue
Outsourcing business services and the role of central administrative offices,2003,Boston,services role;role central;outsourcing business
Networking Off Madison Avenue,2005,Boston,networking madison;madison avenue
Where do manufacturing firms locate their Headquarters?,2004,Boston,manufacturing firms;locate headquarters
Where Do Manufacturing Firms Locate Their Headquarters?,2008,Boston,manufacturing firms;locate headquarters
Spatial mobility and geographic concentration,2005,Boston,spatial mobility;mobility geographic
The Agglomeration of Headquarters,2004,Boston,headquarters;agglomeration
Spatial Organization of Firms – The decision to split production from administration,2004,Boston,split production;spatial organization;production administration
Spatial Organization of Firms: The decision to split production from administration,2007,Boston,split production;spatial organization;production administration
Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data.,2006,UCLA,wage premium;los;angeles using;case
Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data.  ,2006,UCLA,wage premium;los;angeles using;case
"Participation in Export Markets and Plant Productivity in Los Angeles, 1987-1997. ",2008,UCLA,productivity los;1987 1997;angeles
Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data. ,2006,UCLA,wage premium;los;angeles using;case
Impacts of trade on wage inequality in Los Angeles: analysis using matched employer-employee data. ,2008,UCLA,wage inequality;impacts trade;analysis using;angeles;data
Exports and Local Labor Markets in the Greater Los Angeles Region,2008,UCLA,region;markets greater;los angeles
Impacts of trade on wage inequality in Los Angeles: analysis using matched employer-employee data.,2006,UCLA,wage inequality;impacts trade;analysis using;angeles;data
"Participation in Export Markets and Plant Productivity in Los Angeles, 1987-1997",2006,UCLA,productivity los;1987 1997;angeles
Impacts of trade on wage inequality in Los Angeles: analysis using matched employer-employee data.,2007,UCLA,wage inequality;impacts trade;analysis using;angeles;data
Post-merger restructuring and the boundaries of the firm,2011,Washington,restructuring boundaries;post merger
The Industry Life Cycle and Acquisitions and Investment: Does Firm Organization Matter?,2005,Washington,organization matter;firm organization;acquisitions investment
Post-Merger Restructuring and the Boundaries of the Firm,2011,Washington,restructuring boundaries;post merger
Post-merger restructuring and the boundaries of the firm,2013,Washington,restructuring boundaries;post merger
The Industry Life-Cycle and Financial Dependence: Does Firm Organization Matter?,2008,Washington,organization matter;financial dependence
How is Value Created in Spin-Offs? A Look Inside the Black Box,2005,Boston,value created;spin offs
Diversification Discount or Premium? New Evidence from BITS Establishment-Level Data,2001,Boston,premium new;establishment;data
Diversification Discount or Premium? New Evidence from the Business Information Tracking Series,2004,Boston,tracking series;evidence business;business information;discount
The Demand for Dependent Health Insurance: How Important is the Marginal Cost of Family Coverage?,2005,Washington,marginal cost;family;coverage;demand
Workers' Decisions to Take-Up Offered Health Insurance Coverage: Assessing the Importance of Out-of-Pocket Premium Cost,2003,Washington,workers decisions;importance;cost;coverage;decisions offered
A Closer Look at the Managed Care Backlash,2006,Washington,managed care;look managed
The Effect of SCHIP Expansions on Health Insurance Decisions by Employers,2005,Washington,schip expansions;insurance decisions;health insurance
Employer Choices of Family Premium Sharing,2006,Washington,sharing;premium
Horizontal Diversification and Vertical Contracting: Firm Scope and Asset Ownership in Taxi Fleets,2008,Berkeley,vertical contracting;fleets;asset ownership;contracting firm;diversification
"Diversification, Organizational Adjustment and Firm Performance: Evidence from Microdata",2007,Berkeley,performance evidence;organizational adjustment;microdata
"Information Technology, Capabilities and Asset Ownership: Evidence from Taxicab Fleets",2009,Berkeley,technology capabilities;taxicab fleets;ownership evidence
"Information Technology, Productivity, and Asset Ownership: Evidence from Taxicab Fleets",2013,Berkeley,technology productivity;taxicab fleets;productivity asset
Stability and Change in Individual Determinants of Migration: Evidence from 1985-1990 and 1995 to 2000,2006,Chicago,stability change;change individual;1985 1990
Using the Survey of Plant Capacity to Measure Capital Utilization,2011,Michigan,utilization;using survey;survey plant
Residential Mobility Across Local Areas in the United States and the Geographic Distribution of the Healthy Population,2014,Michigan,united states;local;areas united;distribution;geographic
Residential Mobility across Local Areas in the United States and the Geographic Distribution of the Healthy Population,2014,Michigan,united states;local;areas united;distribution;geographic
Relocation patterns in U.S. manufacturing,2006,Michigan,relocation patterns;patterns manufacturing
Cross-Sectoral Variation in the Volatility of Plant-Level Idiosyncratic Shocks,2015,Michigan,volatility plant;variation volatility
Productivity and Employment Dynamics of U.S. Manufacturing Plants,2015,Michigan,productivity employment;plants
Cross-Sectoral Variation in the Volatility of Plant-Level Idiosyncratic Shocks,2011,Michigan,volatility plant;variation volatility
The Importance of Reallocations in Cyclical Productivity and Returns to Scale: Evidence from Plant-Level Data,2007,Michigan,scale evidence;level data;cyclical productivity
Entry and Exit of Manufacturing Plants over the Business Cycle,2015,Michigan,plants business;manufacturing plants
Geographic Redistribution of the U.S. Manufacturing and The Role of State Development Policy,2007,Michigan,state development;role state;redistribution manufacturing
The Evolution of the Energy Star Industrial Energy Performance Indicator for Benchmarking Plant Level Manufacturing Energy Use,2008,Chicago,energy;use;industrial;benchmarking plant;evolution;indicator
Estimating the Distribution of Plant-Level Manufacturing Energy Efficiency with Stochastic Frontier Regression,2007,Chicago,stochastic frontier;distribution plant;efficiency
 Development of a Performance-based Industrial Energy Efficiency Indicator for Corn Refining Plants,2006,Chicago,refining plants;energy;based industrial
Development of a Performance-based Industrial Energy Efficiency Indicator for Cement Manufacturing Plants,2006,Chicago,plants;energy;based industrial
Measuring Plant Level Energy Efficiency When Production Activities Are Not Homogeneous: The ENERGY STAR Energy Performance Indicator,2005,Chicago,energy;indicator;activities homogeneous;efficiency;level;star
Motivating Industrial Energy Efficiency through Performance-based Indicators,2005,Chicago,performance based;motivating industrial
"The Impact of Minimum Quality Standards on Firm Entry, Exit and Product Quality: The Case of the Child Care Market",2005,UCLA,quality;standards firm;care market;case;child;entry
The Impact of Regulation on Supply and Quality of Care in the Childcare Market,2011,UCLA,supply quality;regulation supply;quality care
The Impact of Regulations on the Supply and Quality of Care in Child Care Markets,2010,UCLA,care;supply quality;regulations supply
Black-White Differences in Intergenerational Economic Mobility in the United States,2014,Chicago,white differences;united states
Parental Earnings and Children's Well-Being: An Analysis of the Survey of Income and Program Participation Matched to Social Security Administration Earnings Data,2013,Chicago,earnings;survey income;analysis;children;data;income program;matched
An Analysis of Sample Selection and the Reliability of Using Short-term Earnings Averages in SIPP-SSA Matched Data,2011,Chicago,using short;sample;averages;data
Parental Earnings and Children's Well-Being and Future Success: An Analysis of the SIPP Matched to SSA Earnings Data,2011,Chicago,earnings;success analysis;analysis sipp;children;data
"A Comparison of Upward and Downward Intergenerational Mobility in Canada, Sweden and the United States",2014,Chicago,upward downward;intergenerational mobility;canada sweden;comparison
Black-White Differences in Intergenerational Economic Mobility in the U.S,2011,Chicago,white differences;mobility
"A Comparison of Upward and Downward Intergenerational Mobility in Canada, Sweden and the United States",2014,Chicago,upward downward;intergenerational mobility;canada sweden;comparison
Does Employment Protection Reduce Productivity? Evidence from US States,2007,Boston,states;reduce productivity
"Democratizing Entry: Banking Deregulations, Financing Constraints, and Entrepreneurship",2009,Boston,financing constraints;entry banking;entrepreneurship
"Taxation, Corruption, and Growth",2016,Boston,taxation corruption;growth
"Democratizing Entry: Banking Deregulations, Financing Constraints, and Entrepreneurship",2007,Boston,financing constraints;entry banking;entrepreneurship
"Taxation, Corruption and Growth",2016,Boston,taxation corruption;growth
Do Employment Protections Reduce Productivity? Evidence from U.S. States,2007,Boston,states;reduce productivity
Do Employment Protections Reduce Productivity? Evidence from U.S. States,2007,Boston,states;reduce productivity
Do Employment Protections Reduce Productivity? Evidence from U.S. States,2007,Boston,states;reduce productivity
"Democratizing Entry: Banking Deregulations, Financing Constraints, and Entrepreneurship",2008,Boston,financing constraints;entry banking;entrepreneurship
Efficiency Implications of Corporate Diversification: Evidence from Micro Data,2006,Triangle,micro data;implications corporate;evidence micro
The Role of Technological and Industrial Heterogeneity In Technology Diffusion: a Markovian Approach,2003,Washington,technology diffusion;technological industrial;role technological
Technology Use and Worker Outcomes: Direct Evidence from Linked Employee-Employer Data,2000,Washington,worker outcomes;evidence linked;direct
High-Involvement Work Practices and the Opportunities for Promotion in the Organization,2014,Washington,work practices;promotion organization
The Performance of Industrial Sector Voluntary Climate Programs: Climate Wise and 1605(b),2012,Washington,climate;wise 1605;voluntary;sector
Data Edits and Imputations for 2002 MEPS-IC Simulation of Claims Payment,2008,Washington,simulation claims;edits imputations;2002 meps
Creating Plan Actuarial Values for the 2002 MEPS-IC Sample,2006,Washington,values 2002;sample
"Generosity and Adjusted Premiums in Job-Based Insurance: Hawaii is up, Wyoming is down",2006,Washington,wyoming;premiums job
Capacity use in multi-unit firms: evidence for efficiency gains or strategic competition in the US restaurant industry?,2011,Chicago,use multi;gains;capacity use;competition;efficiency
Residual Claims and Incentives in Restaurant Chains,2006,Chicago,restaurant chains;residual claims
The Production Decisions of Large Competitors: Detecting Cost Advantages and Strategic Behavior in Restaurants,2006,Chicago,strategic behavior;decisions;advantages strategic;behavior restaurants;competitors
Price markups in oligopoly models with differentiated products,2008,Chicago,products;price markups
"Leasing, Ability to Repossess, and Debt Capacity",2009,Chicago,repossess debt;leasing ability
"Leasing, Ability to Repossess, and Debt Capacity",2006,Chicago,repossess debt;leasing ability
"Leasing, Ability to Repossess, and Debt Capacity",2007,Chicago,repossess debt;leasing ability
New or Used? Investment with Credit Constraints,2007,Chicago,used investment;new used
Surviving Credit Market Competition,2014,Baruch,surviving credit;market competition
Why Are Plant Deaths Countercyclical: Reallocation Timing or Fragility?,2006,Washington,timing fragility;reallocation timing
Explaining Cyclical Movements in Employment: Creative-Destruction or Changes in Utilization?,2009,Washington,utilization;movements employment
Why Are Plant Deaths Countercyclical: Reallocation Timing or Fragility?,2006,Washington,timing fragility;reallocation timing
Explaining Cyclical Movements in Employment: Creative-Destruction or Changes in Utilization?,2006,Washington,utilization;movements employment
Explaining Cyclical Movements in Employment: Creative-Destruction or Changes in Utilization?,2006,Washington,utilization;movements employment
How Does Geography Matter in Ethnic Labor Market Segmentation Process? A Case Study of Chinese Immigrants in the San Francisco CMSA,2007,Triangle,study chinese;immigrants;case study;cmsa;does;ethnic;francisco
Linking Home to Work: Ethnic Labor Market Concentration in the San Francisco CMSA,2006,Triangle,work ethnic;home work;concentration;ethnic labor;francisco
How Does Geography Matter in the Ethnic Labor Market Segmentation Process? A Case Study of Chinese Immigrants in the San Francisco CMSA,2010,Triangle,study chinese;immigrants;case study;cmsa;does;ethnic;francisco
Information Systems for Collaborating versus Transacting: Impact on Plant Performance in the Presence of Demand Volatility,2011,Michigan,volatility;performance presence;collaborating versus;demand;impact
IT for Information-Based Partnerships: Empirical Analysis of Environmental Contingencies to Value Co-Creation,2009,Michigan,value creation;empirical
"Electronic Networking Technologies, Innovation Misfit, and Plant Performance",2010,Michigan,technologies innovation;plant performance;networking technologies
Information Systems for Collaborating Versus Transacting: Impact on Manufacturing Plant Performance in the Presence of Demand Volatility,2013,Michigan,volatility;performance;collaborating versus;demand;impact;information
The Return to Knowledge Hierarchies,2007,Chicago,return knowledge;knowledge hierarchies
The Returns to Knowledge Hierarchies,2016,Chicago,returns knowledge;knowledge hierarchies
Learning about the Nature of Production from Equilibrium Assignment Patterns,2012,Chicago,production equilibrium;patterns
The Returns to Knowledge Hierarchies,2016,Chicago,returns knowledge;knowledge hierarchies
The Return to Knowledge Hierarchies,2007,Chicago,return knowledge;knowledge hierarchies
The Return to Knowledge Hierarchies,2007,Chicago,return knowledge;knowledge hierarchies
Crises and Confidence: Systemic Banking Crises and Depositor Behavior,2014,Chicago,crises;systemic banking;depositor behavior
Impacts of Central Business District Location: A Hedonic Analysis of Legal Service Establishments,2011,Chicago,service establishments;analysis legal;business;central;district
The Dynamics of House Price Capitalization and Locational Sorting: Evidence from Air Quality Changes,2012,Chicago,sorting evidence;evidence air;air quality;capitalization;changes
Valuing the Benefits of Superfund Site Remediation: Three Approaches to Measuring Localized Externalities,2011,Chicago,valuing benefits;measuring;benefits superfund;externalities
The Dynamics of House Price Responsiveness and Locational Sorting: Evidence from Air Quality Changes,2015,Chicago,sorting evidence;house price;air quality;changes;dynamics
Does Cleanup of Hazardous Waste Sites Raise Housing Values? Evidence of Spatially Localized Benefits,2012,Chicago,waste sites;housing values;cleanup;does;evidence
Amenity Values of Permanently Protected Open Space,2011,Chicago,values permanently;space
Amenity Values of Proximity to National Wildlife Refuges,2011,Chicago,wildlife refuges;values proximity
Does Cleanup of Hazardous Waste Sites Raise Housing Values? Evidence of Spatially Localized Benefits,2013,Chicago,waste sites;housing values;cleanup;does;evidence
"Small Homes, Public Schools, and Property Tax Capitalization",2013,Chicago,tax capitalization;small homes;schools property
Amenity values of proximity to National Wildlife Refuges: An analysis of urban residential property values,2013,Chicago,values;wildlife refuges;proximity;analysis;national
Amenity values of proximity to National Wildlife Refuges: An analysis of urban residential property values,2013,Chicago,values;wildlife refuges;proximity;analysis;national
An Integrated Model of Regional and Local Residential Sorting with Application to Air Quality,2015,Chicago,sorting application;local residential;air quality;application air
"Small Homes, Public Schools, and Property Tax Capitalization",2013,Chicago,tax capitalization;small homes;schools property
The Dynamics of Air Quality Capitalization and Locational Sorting in the Housing Market,2011,Chicago,sorting housing;quality capitalization;market
"Professional Employer Organizations: What Are They, Who Uses Them and Why Should We Care?",2010,Chicago,uses care;professional employer
Manufacturing Plants' Use of Temporary Workers: An Analysis Using Census Microdata,2013,Chicago,workers analysis;plants;analysis using;census
Mergers and Sunk Costs: An Application to the Ready-Mix Concrete Industry,2014,Chicago,sunk costs;ready mix
Entry and Exit in the Ready-Mix Concrete Industry,2007,Chicago,ready mix;mix concrete
Demand Fluctuations in the Ready-Mix Concrete Industry,2013,Chicago,ready mix;mix concrete
Productivity Dispersion and Plant Selection in the Ready-Mix Concrete Industry,2011,Chicago,selection ready;ready mix
Randomized Safety Inspections and Risk of Exposure on the Job: Quasi-Experimental Estimates of the Value of a Statistical Life,2013,Boston,value statistical;life;estimates value;experimental;exposure
Randomized Safety Inspections and Risk Exposure on the Job: Quasi-experimental Estimates of the Value of a Statistical Life,2019,Boston,value statistical;life;estimates value;experimental;exposure
Randomized Safety Inspections and Risk Exposure on the Job: Quasi-Experimental Estimates of the Value of a Statistical Life,2014,Boston,value statistical;life;estimates value;experimental;exposure
"A New Estimate of the Impact of OSHA Inspections on Manufacturing Injury Rates, 1998-2005",2012,Boston,rates 1998;injury rates;1998 2005
A Quasi-Experimental Approach to Identifying Compensating Wage Differentials for Occupational Risks,2012,Boston,wage differentials;experimental approach;approach identifying
Race-Specific Agglomeration Economies: Social Distance and the Black-White Wage Gap,2013,Baruch,white wage;gap
Race-specific Urban Wage Premia and the Black-White Wage Gap,2018,Baruch,wage;white
Wage Premia in Employment Clusters: Agglomeration or Worker Heterogeneity?,2010,Baruch,worker heterogeneity;wage premia;premia employment
Wage Premia in Employment Clusters: How Important is Worker Heterogeneity?,2013,Baruch,worker heterogeneity;wage premia;premia employment
Race-Specific Agglomeration Economies: Social Distance and the Black-White Wage Gap,2013,Baruch,white wage;gap
Earnings Responses to Social Security Reform,2006,Boston,social security;security reform
The Distributional Effects of an Investment-based Social Security System,2002,Boston,social security;investment based
Redistribution in the Current U.S. Social Security System,2002,Boston,social security;redistribution current
Should Taxes Be Based on Lifetime Income? Vickrey Taxation Revisited,2005,Boston,vickrey taxation;taxes based;taxation revisited
NBER Patent Data-BR Bridge: User Guide and Technical Documentation,2010,UCLA,user guide;br bridge;bridge user
Essays on Learning and Innovation,2007,UCLA,learning innovation;essays learning
"New Plant Venture Performance Differences Among Incumbent, Diversifying, and Entrepreneurial Firms: The Impact of Industry Learning Intensity",2011,UCLA,venture performance;incumbent diversifying;differences incumbent;diversifying entrepreneurial;entrepreneurial firms;firms impact
Industry Learning Environments and the Heterogeneity of Firm Performance,2010,UCLA,performance;learning environments
What Happens When Firms Patent? New Evidence from U.S. Economic Census Data,2008,UCLA,patent new;new evidence;happens firms
What Happens When Firms Patent? New Evidence from U.S. Economic Census Data,2011,UCLA,patent new;new evidence;happens firms
Industry Learning Environments and the Heterogeneity of Firm Performance,2006,UCLA,performance;learning environments
Industry Learning Environments and the Heterogeneity of Firm Performance,2006,UCLA,performance;learning environments
A tale of two cities: physical form and neighborhood satisfaction in metropolitan Portland and Charlotte,2008,Cornell,tale cities;neighborhood;cities physical;form
Resident Perceptions of Crime: How Similar are They to Official Crime Rates?,2007,Triangle,crime;similar official;resident perceptions
Resident perceptions of crime: How much is “bias” and how much is micro-neighborhood effects?,2010,Triangle,resident perceptions;perceptions crime
"Segregation Through the Lens of Housing Unit Transition: What Roles do the Prior Residents, the Local Micro-Neighborhood, and the Broader Neighborhood Play?",2012,Triangle,neighborhood;unit transition;housing;lens;local;micro
Neighborhood structure and crime and disorder as a case in point,2007,Triangle,structure crime;point
Social Distance and Social Change: How Neighborhoods Change Over Time,2006,Triangle,social;change;time
"IPO Waves, Product Market Competition, and the Going Public Decision: Theory and Evidence",2012,Boston,waves product;ipo waves;competition going;decision;evidence
The Going Public Decision and the Product Market,2010,Boston,public decision;product market
Product Market Characteristics and the Choice between IPOs and Acquisitions,2018,Boston,product market;market characteristics
The Effects of Corporate Spin-offs on Productivity,2014,Boston,spin offs;productivity
"IPO Waves, Product Market Competition, and the Going Public Decision: Theory and Evidence",2011,Boston,waves product;ipo waves;competition going;decision;evidence
How Does Venture Capital Financing Improve Efficiency in Private Firms? A Look Beneath the Surface,2011,Boston,venture capital;financing improve;beneath surface;capital financing;does
How Does Venture Capital Financing Improve Efficiency in Private Firms? A Look Beneath the Surface,2008,Boston,venture capital;financing improve;beneath surface;capital financing;does
The Going Public Decision and the Product Market,2008,Boston,public decision;product market
How Do Venture Capitalists Create Value for Entrepreneurial Firms? A Review of the Literature,2010,Boston,venture capitalists;value entrepreneurial;review literature
Migration in Arctic Alaska: Empirical Evidence of the Stepping Stones Hypothesis,2014,UCLA,stones hypothesis;stepping stones;migration arctic
Migration Decisions in Arctic Alaska: Empirical Evidence of the Stepping Stones Hypothesis,2010,UCLA,stones hypothesis;empirical evidence;alaska empirical;arctic
"Regional Industrial Dominance, Agglomeration Economies, and Manufacturing Plant Productivity",2007,Triangle,regional industrial;productivity;plant
Industrial Structure and the Sources of Agglomeration Economies: Evidence from Manufacturing Plant Production,2013,Triangle,structure sources;industrial structure;agglomeration economies;economies evidence
Trends in Regional Industrial Concentration in the United States,2009,Triangle,united states;trends regional
The Spatial Extent of Agglomeration Economies: Evidence from Three U.S. Manufacturing Industries,2012,Triangle,spatial extent;manufacturing industries;extent agglomeration
"How Does Size Matter? Investigating the Relationships Among Plant Size, Industrial Structure, and Manufacturing Productivity",2011,Triangle,size;structure manufacturing;matter;industrial;investigating
"Concentration, Diversity, and Manufacturing Performance",2010,Triangle,performance;manufacturing
Regional Industrial Structure and Agglomeration Economies: An Analysis or Productivity in Three Manufacturing Industries,2012,Triangle,structure agglomeration;industrial structure;agglomeration economies;analysis
On the Lifecycle Dynamics of Venture-Capital- and Non-Venture-Capital-Financed Firms,2008,Triangle,venture capital;non venture
On the Lifecycle Dynamics of Venture-Capital- and Non-Venture-Capital-Financed Firms,2012,Triangle,venture capital;non venture
"Who Works for Startups? The Relation between Firm Age, Employee Age, and Growth",2011,Triangle,age;works startups;startups relation
On the Lifecycle Dynamics of Venture-Capital- and Non-Venture-Capital-Financed Firms,2008,Triangle,venture capital;non venture
"Who Works for Startups? The Relation between Firm Age, Employee Age, and Growth",2014,Triangle,age;works startups;startups relation
Agents of Change: Mixed-Race Households and the Dynamics of Neighborhood Segregation in the United States,2012,UCLA,united states;mixed;agents change
Gender and the Neighborhood Location of Mixed-Race Couples,2013,UCLA,race couples;neighborhood location
The Racially Fragmented City? Neighborhood Racial Segregation and Diversity Jointly Considered,2012,UCLA,segregation diversity;jointly;city neighborhood;considered
"How Low Income Neighborhoods Change: Entry, Exit and Enhancement",2011,Baruch,neighborhoods change;low income;income neighborhoods
"How Low Income Neighborhoods Change: Entry, Exit and Enhancement",2010,Baruch,neighborhoods change;low income;income neighborhoods
Race and Neighborhoods in the 21st Century: What Does Segregation Mean Today?,2014,Baruch,today;segregation mean;race neighborhoods
"An Alternative Theory of the Plant Size Distribution, with Geography and Intra- and International Trade",2014,Washington,trade;alternative theory;distribution
"The size, function and trading area of manufacturing plants",2008,Washington,trading area;size function
Plant Size and Plant Function,2008,Washington,plant;size
"Exports, Borders, Distance, and Plant Size",2010,Washington,size;plant
An Alternative Theory of the Plant Size Distribution with an Application to Trade,2010,Washington,trade;theory plant;size distribution
"Exports, Borders, Distance, and Plant Size",2010,Washington,size;plant
"Exports, Borders, Distance, and Plant Size",2012,Washington,size;plant
An Alternative Theory of the Plant Size Distribution with an Application to Trade,2010,Washington,trade;theory plant;size distribution
Levels and Trends in United States Income and Its Distribution: A Crosswalk from Market Income Towards a Comprehensive Haig-Simons Income Measure,2013,Cornell,income;united states;comprehensive haig;crosswalk;distribution;haig simons
Using the Pareto Distribution to Improve Estimates of Topcoded Earnings,2014,Cornell,using pareto;topcoded earnings;pareto distribution
Recent Trends in Top Income Shares in the USA: Reconciling Estimates from March CPS and IRS Tax Return Data,2012,Cornell,usa reconciling;recent;cps irs;data;estimates;income
Using the Pareto Distribution to Improve Estimates of Topcoded Earnings,2014,Cornell,using pareto;topcoded earnings;pareto distribution
Using the Pareto Distribution to Improve Estimates of Topcoded Earnings,2016,Cornell,using pareto;topcoded earnings;pareto distribution
